num_spheres,width,height,run,time_ms,runtime
500,320,180,6,69.208,gpu_base
500,320,180,7,67.8908,gpu_base
500,320,180,8,71.72,gpu_base
500,320,180,9,77.1184,gpu_base
500,640,360,0,160.762,gpu_base
500,640,360,1,164.344,gpu_base
500,640,360,2,160.963,gpu_base
500,640,360,3,158.267,gpu_base
500,640,360,4,166.33,gpu_base
500,640,360,5,166.501,gpu_base
500,640,360,6,160.195,gpu_base
500,640,360,7,161.618,gpu_base
500,640,360,8,160.177,gpu_base
500,640,360,9,165.454,gpu_base
500,1280,720,0,414.819,gpu_base
500,1280,720,1,431.125,gpu_base
500,1280,720,2,426.642,gpu_base
500,1280,720,3,431.375,gpu_base
500,1280,720,4,430.364,gpu_base
500,1280,720,5,432.072,gpu_base
500,1280,720,6,422.182,gpu_base
500,1280,720,7,418.835,gpu_base
500,1280,720,8,425.364,gpu_base
500,1280,720,9,417.78,gpu_base
500,1920,1080,0,766.322,gpu_base
500,1920,1080,1,768.898,gpu_base
500,1920,1080,2,774.445,gpu_base
500,1920,1080,3,767.263,gpu_base
500,1920,1080,4,777.594,gpu_base
500,1920,1080,5,761.972,gpu_base
500,1920,1080,6,767.308,gpu_base
500,1920,1080,7,778.686,gpu_base
500,1920,1080,8,779.031,gpu_base
500,1920,1080,9,783.241,gpu_base
1,320,180,0,1.95251,gpu_layered
1,320,180,1,1.95349,gpu_layered
1,320,180,2,1.94624,gpu_layered
1,320,180,3,1.94655,gpu_layered
1,320,180,4,1.94784,gpu_layered
1,320,180,5,1.95908,gpu_layered
1,320,180,6,2.08488,gpu_layered
1,320,180,7,1.95184,gpu_layered
1,320,180,8,1.94756,gpu_layered
1,320,180,9,1.9559,gpu_layered
1,640,360,0,8.85037,gpu_layered
1,640,360,1,9.16162,gpu_layered
1,640,360,2,8.85277,gpu_layered
1,640,360,3,8.86371,gpu_layered
1,640,360,4,8.85118,gpu_layered
1,640,360,5,8.85117,gpu_layered
1,640,360,6,8.83548,gpu_layered
1,640,360,7,8.8507,gpu_layered
1,640,360,8,8.83951,gpu_layered
1,640,360,9,8.82383,gpu_layered
1,1280,720,0,34.4584,gpu_layered
1,1280,720,1,34.4664,gpu_layered
1,1280,720,2,26.9975,gpu_layered
1,1280,720,3,26.9806,gpu_layered
1,1280,720,4,26.9818,gpu_layered
1,1280,720,5,26.9786,gpu_layered
1,1280,720,6,26.9776,gpu_layered
1,1280,720,7,26.9789,gpu_layered
1,1280,720,8,27.009,gpu_layered
1,1280,720,9,26.9864,gpu_layered
1,1920,1080,0,60.4053,gpu_layered
1,1920,1080,1,60.3631,gpu_layered
1,1920,1080,2,60.3306,gpu_layered
1,1920,1080,3,60.3328,gpu_layered
1,1920,1080,4,60.3744,gpu_layered
1,1920,1080,5,60.3586,gpu_layered
1,1920,1080,6,60.3973,gpu_layered
1,1920,1080,7,60.328,gpu_layered
1,1920,1080,8,60.3991,gpu_layered
1,1920,1080,9,60.3651,gpu_layered
5,320,180,0,1.94045,gpu_layered
5,320,180,1,1.93709,gpu_layered
5,320,180,2,1.94505,gpu_layered
5,320,180,3,1.94396,gpu_layered
5,320,180,4,1.93835,gpu_layered
5,320,180,5,1.93751,gpu_layered
5,320,180,6,1.94128,gpu_layered
5,320,180,7,2.05846,gpu_layered
5,320,180,8,1.93614,gpu_layered
5,320,180,9,1.9396,gpu_layered
5,640,360,0,7.07229,gpu_layered
5,640,360,1,7.07034,gpu_layered
5,640,360,2,7.06671,gpu_layered
5,640,360,3,7.09001,gpu_layered
5,640,360,4,8.96633,gpu_layered
5,640,360,5,8.96028,gpu_layered
5,640,360,6,9.01146,gpu_layered
5,640,360,7,8.99618,gpu_layered
5,640,360,8,8.95209,gpu_layered
5,640,360,9,8.97813,gpu_layered
5,1280,720,0,34.8924,gpu_layered
5,1280,720,1,27.3929,gpu_layered
5,1280,720,2,27.3995,gpu_layered
5,1280,720,3,27.3969,gpu_layered
5,1280,720,4,27.4021,gpu_layered
5,1280,720,5,27.41,gpu_layered
5,1280,720,6,27.3837,gpu_layered
5,1280,720,7,27.4279,gpu_layered
5,1280,720,8,27.4739,gpu_layered
5,1280,720,9,27.4422,gpu_layered
5,1920,1080,0,61.3588,gpu_layered
5,1920,1080,1,61.3104,gpu_layered
5,1920,1080,2,61.3122,gpu_layered
5,1920,1080,3,61.3436,gpu_layered
5,1920,1080,4,61.3136,gpu_layered
5,1920,1080,5,61.3109,gpu_layered
5,1920,1080,6,61.3611,gpu_layered
5,1920,1080,7,61.3148,gpu_layered
5,1920,1080,8,61.2838,gpu_layered
5,1920,1080,9,61.2665,gpu_layered
10,320,180,0,2.03059,gpu_layered
